# E2E flow timings — wall-seconds per flow, regenerated from Maestro JUnit by
# gen-flow-timings.sh. Consumed by run-e2e-queue.sh to seed the work-queue
# LONGEST-FIRST (LPT): the Convex queue hands flows out in INSERTION order
# (convex/e2eQueue.ts claimNext → .first() on by_run_status), so seeding the
# biggest flows first lets the work-stealing runner pool start the long poles
# immediately and balances the tail (NEO-61). Alphabetical seeding left a ~4.5 min
# fastest↔slowest runner spread (e2e-sample-run2, 2026-06-20).
#
# Format: <seconds><TAB><repo-relative flow path>, sorted seconds-desc / path-asc.
# Blank lines and lines starting with # are ignored. A flow NOT listed gets the
# median of the known values (mid-queue) at enqueue time, so a new/unmeasured flow
# is never starved to the end; if this file is missing/empty, enqueue falls back to
# alphabetical order.
#
# DO NOT hand-edit: every "E2E Tests" run rebuilds this (report job → `flow-timings`
# artifact) and the weekly refresh-flow-timings.yml opens a chore PR when it drifts.
363	.maestro/flows/set-selector/features-propagation.yaml
314	.maestro/flows/set-selector/team-picker.yaml
279	.maestro/flows/set-selector/move-parallels-of-inserts-custom.yaml
258	.maestro/flows/profile/credentials-lifecycle.yaml
216	.maestro/flows/set-selector/card-detail-panel.yaml
181	.maestro/flows/set-selector/parallel-grouping-cancel-discards.yaml
179	.maestro/flows/set-selector/set-attributes-edit.yaml
176	.maestro/flows/set-selector/custom-card-crud.yaml
159	.maestro/flows/set-selector/parallel-grouping-reject-parallel.yaml
132	.maestro/flows/set-selector/variant-metadata-editor-insert.yaml
129	.maestro/flows/set-selector/cards-parallel-custom.yaml
128	.maestro/flows/profile/fill-profile-data.yaml
98	.maestro/flows/set-selector/checklist-fetch-unknown-entities-skip-some.yaml
97	.maestro/flows/set-selector/checklist-fetch-cancel-dialog.yaml
92	.maestro/flows/set-selector/checklist-keyboard-only-dialog.yaml
85	.maestro/flows/qr-code/generate-qr.yaml
77	.maestro/flows/set-selector/topps-chrome-add-feature.yaml
72	.maestro/flows/sale/running-total.yaml
67	.maestro/flows/set-selector/custom-entry-survives-resync.yaml
57	.maestro/flows/set-selector/multi-source-panel-opens-dialog.yaml
53	.maestro/flows/set-selector/sets-base.yaml
49	.maestro/flows/home/collection-tracking.yaml
46	.maestro/flows/home/ai-identification.yaml
46	.maestro/flows/home/managing-inventory.yaml
46	.maestro/flows/set-selector/checklist-renders-rich-fields.yaml
38	.maestro/flows/set-selector/topps-chrome-marketplace-read.yaml
36	.maestro/flows/set-selector/sets-resync-already-loaded.yaml
33	.maestro/flows/profile/test-credentials.yaml
17	.maestro/flows/home/landing-smoke.yaml
16	.maestro/flows/set-selector/custom-field-known-value-selects.yaml
14	.maestro/flows/home/landing-marketing.yaml
13	.maestro/flows/set-selector/admin-missing-sl-shows-warning.yaml
12	.maestro/flows/set-selector/admin-missing-bsc-shows-warning.yaml
9	.maestro/flows/set-selector/admin-missing-both-shows-warning.yaml
7	.maestro/flows/auth/sign-out.yaml
5	.maestro/flows/dashboard/view-collection.yaml
5	.maestro/flows/profile/view-profile.yaml
4	.maestro/flows/auth/sign-in.yaml
4	.maestro/flows/qr-code/no-profile-empty-state.yaml
